Time(Fw)[msec],Interval(Fw)[msec],Sampling(App)[msec],0xDF0,0xDF1,0xDF2,0xDF3,0xDF4,0xDF5,0xDF6,0xDF7,
318672,30,28.9,0,-0.41455078125,-0.03607177734375,0,102.5625,1,6,0,
318717,45,45,0,-0.333740234375,-0.03619384765625,0,102.5625,1,6,0,
318762,45,32.3,0,-0.262451171875,-0.032135009765625,0,102.5625,1,6,0,
318792,30,29.7,0,-0.2266845703125,-0.0281982421875,0,102.5625,1,6,0,
318822,30,27.2,0,-0.1954345703125,-0.024200439453125,0,102.5625,1,6,0,
318852,30,31.5,0,-0.1641845703125,-0.020904541015625,0,102.5625,1,6,0,
318882,30,29.2,0,-0.1290283203125,-0.01959228515625,0,102.5625,1,6,0,
318912,30,30.3,0,-0.08831787109375,-0.018585205078125,0,102.5625,1,6,0,
318957,45,44.2,0,-0.0197906494140625,-0.0190582275390625,0,102.5625,1,6,0,
318972,15,29.6,0,0.0040130615234375,-0.020263671875,0,102.5625,1,6,0,
319002,30,29.8,0,0.052001953125,-0.0237884521484375,0,102.5625,1,6,0,
319032,30,30.5,0,0.10052490234375,-0.0274658203125,0,102.5625,1,6,0,
319062,30,30.7,0,0.152099609375,-0.0311737060546875,0,102.5625,1,6,0,
319092,30,30,0,0.2080078125,-0.036041259765625,0,102.5625,1,6,0,
319122,30,29.7,0,0.26806640625,-0.042999267578125,0,102.5625,1,6,0,
319152,30,30.3,0,0.311767578125,-0.05322265625,0.0628662109375,102.5625,1,6,0,
319182,30,29.1,0,0.305908203125,-0.0635986328125,0.243896484375,102.5625,1,6,0,
319212,30,29.6,0,0.2430419921875,-0.07171630859375,0.5263671875,102.5625,1,6,0,
319242,30,31.1,0,0.1396484375,-0.07525634765625,0.8359375,103.8125,0,7,0,
319272,30,30,0,0.012481689453125,-0.0703125,1.091796875,103.8125,0,7,0,
319302,30,29.8,0,-0.1292724609375,-0.053314208984375,1.2880859375,103.8125,0,7,0,
319332,30,32.4,0,-0.276611328125,-0.034820556640625,1.423828125,103.8125,0,7,0,
319362,30,28.8,0,-0.41064453125,-0.0273284912109375,1.4853515625,103.8125,0,7,0,
319407,45,43.5,0,-0.58740234375,-0.0457763671875,1.4482421875,103.8125,0,7,0,
319452,45,30.4,0,-0.72412109375,-0.07318115234375,1.279296875,103.8125,0,7,0,
319467,15,29.8,0,-0.75390625,-0.0782470703125,1.19921875,103.8125,0,7,0,
319497,30,30.1,0,-0.79248046875,-0.08062744140625,1.005859375,103.8125,0,7,0,
319527,30,28.9,0,-0.80322265625,-0.074951171875,0.7763671875,103.8125,0,7,0,
319572,45,30.7,0,-0.7705078125,-0.0654296875,0.362060546875,103.8125,0,7,0,
319602,30,45.9,0,-0.76025390625,-0.060943603515625,0.1610107421875,103.8125,0,7,0,
319632,30,30.4,0,-0.75146484375,-0.05291748046875,0.102783203125,103.8125,0,7,0,
319662,30,29.2,0,-0.71337890625,-0.041168212890625,0.07208251953125,103.8125,0,7,0,
319692,30,30.8,0,-0.662109375,-0.03009033203125,0.05828857421875,103.8125,0,7,0,
319722,30,29.6,0,-0.599609375,-0.0193939208984375,0.0460205078125,103.8125,0,7,0,
319752,30,29.8,0,-0.52294921875,-0.0150146484375,0.0030670166015625,103.8125,0,7,0,
319782,30,30.2,0,-0.482421875,-0.01434326171875,0,103.8125,1,6,0,
319812,30,30.2,0,-0.435791015625,-0.01230621337890625,0,103.8125,1,6,0,
319857,45,32.2,0,-0.361083984375,-0.018951416015625,0,103.8125,1,6,0,
319887,30,44.7,0,-0.308837890625,-0.023468017578125,0,103.8125,1,6,0,
319917,30,28.5,0,-0.26123046875,-0.0248870849609375,0,103.8125,1,6,0,
319962,45,32.7,0,-0.2047119140625,-0.02301025390625,0,103.8125,1,6,0,
319992,30,26.6,0,-0.1749267578125,-0.02166748046875,0,103.8125,1,6,0,
320037,45,44.7,0,-0.1312255859375,-0.020263671875,0,103.8125,1,6,0,
320067,30,44.2,0,-0.095947265625,-0.019744873046875,0,103.8125,1,6,0,
320097,30,31.1,0,-0.054901123046875,-0.0199127197265625,0,103.8125,1,6,0,
320127,30,30.4,0,-0.0106353759765625,-0.0216217041015625,0,103.8125,1,6,0,
320157,30,30.2,0,0.034820556640625,-0.0255889892578125,0,103.8125,1,6,0,
320187,30,31.6,0,0.0823974609375,-0.0311279296875,0,103.8125,1,6,0,
320217,30,28.4,0,0.1328125,-0.0369873046875,0,103.8125,1,6,0,
320262,45,43.8,0,0.218505859375,-0.04736328125,0,103.8125,1,6,0,
320292,30,32.6,0,0.279541015625,-0.05682373046875,0.00153350830078125,103.8125,1,6,0,
320322,30,28.1,0,0.314208984375,-0.06842041015625,0.0950927734375,103.8125,1,6,0,
320352,30,33.1,0,0.292236328125,-0.07977294921875,0.306884765625,103.8125,1,6,0,
320382,30,28.2,0,0.2181396484375,-0.0875244140625,0.60302734375,103.8125,1,6,0,
320412,30,30.6,0,0.10955810546875,-0.09124755859375,0.90673828125,102.5625,0,7,0,
320457,45,29.4,0,-0.0869140625,-0.08135986328125,1.2490234375,102.5625,0,7,0,
320487,30,43,0,-0.2308349609375,-0.0640869140625,1.4033203125,102.5625,0,7,0,
320517,30,30.2,0,-0.363525390625,-0.050994873046875,1.4833984375,102.5625,0,7,0,
320562,45,29.1,0,-0.544921875,-0.055572509765625,1.4697265625,102.5625,0,7,0,
320592,30,47,0,-0.6474609375,-0.0677490234375,1.38671875,102.5625,0,7,0,
320637,45,43.8,0,-0.748046875,-0.07550048828125,1.1669921875,102.5625,0,7,0,
320667,30,30.3,0,-0.7822265625,-0.07061767578125,0.97412109375,102.5625,0,7,0,
320697,30,30.6,0,-0.79052734375,-0.06341552734375,0.744140625,102.5625,0,7,0,
320727,30,30.4,0,-0.775390625,-0.057952880859375,0.478515625,102.5625,0,7,0,
320757,30,29.9,0,-0.74951171875,-0.053619384765625,0.222412109375,102.5625,0,7,0,
320787,30,28.5,0,-0.75927734375,-0.04888916015625,0.1380615234375,102.5625,0,7,0,
320832,45,46.8,0,-0.7060546875,-0.036834716796875,0.08746337890625,102.5625,0,7,0,
320877,45,44.5,0,-0.6259765625,-0.030487060546875,0.064453125,102.5625,0,7,0,
320907,30,30.3,0,-0.5595703125,-0.028656005859375,0.039886474609375,102.5625,0,7,0,
320952,45,29.8,0,-0.475341796875,-0.0307159423828125,0,102.5625,1,6,0,
320967,15,31.4,0,-0.450927734375,-0.0308380126953125,0,102.5625,1,6,0,
